Year,Total,Workers,Widow(er)s,Adult children,Workers,Widow(er)s,Adult children,Workers,Widow(er)s,Adult children
1960,"559,425","455,371",. . .,"104,054",89.31,. . .,44.15,"40,669",. . .,"4,594"
1961,"742,296","618,075",. . .,"124,221",89.59,. . .,45.28,"55,373",. . .,"5,625"
1962,"888,131","740,867",. . .,"147,264",89.99,. . .,45.67,"66,671",. . .,"6,726"
1963,"993,656","827,014",. . .,"166,642",90.59,. . .,46.45,"74,919",. . .,"7,741"
1964,"1,077,695","894,173",. . .,"183,522",91.12,. . .,47.35,"81,477",. . .,"8,690"
1965,"1,186,464","988,074",. . .,"198,390",97.76,. . .,51.77,"96,594",. . .,"10,271"
1966,"1,310,911","1,097,190",. . .,"213,721",98.09,. . .,52.42,"107,623",. . .,"11,203"
1967,"1,422,778","1,193,120",. . .,"229,658",98.43,. . .,53.41,"117,439",. . .,"12,266"
1968,"1,560,517","1,295,300","21,563","243,654",111.86,72.25,61.83,"144,892","1,558","15,065"
1969,"1,690,982","1,394,291","39,469","257,222",112.74,71.02,62.79,"157,192","2,803","16,151"
1970,"1,812,786","1,492,948","49,281","270,557",131.26,82,73.21,"195,964","4,041","19,807"
1971,"1,990,098","1,647,684","56,743","285,671",146.52,90.11,81.37,"241,419","5,113","23,245"
1972,"2,202,090","1,832,916","64,167","305,007",179.32,109.54,98.81,"328,678","7,029","30,138"
1973,"2,415,383","2,016,626","78,769","319,988",183,111.14,100.14,"369,043","8,754","32,044"
1974,"2,670,092","2,236,882","92,128","341,082",205.7,125.87,112.45,"460,127","11,596","38,355"
1975,"2,960,620","2,488,774","109,511","362,335",225.9,137.7,122.8,"562,214","15,080","44,495"
1976,"3,171,198","2,670,208","119,427","381,563",245.17,147.01,132.32,"654,655","17,557","50,488"
1977,"3,368,954","2,837,432","127,276","404,246",265.3,156.11,142.12,"752,771","19,869","57,451"
1978,"3,429,421","2,879,774","129,751","419,896",288.3,165.46,153.66,"830,239","21,469","64,521"
1979,"3,435,761","2,870,590","129,833","435,338",322,180.52,171.55,"924,330","23,437","74,682"
1980,"3,436,429","2,858,680","127,580","450,169",370.7,205.02,198.95,"1,059,713","26,156","89,561"
1981,"3,361,130","2,776,519","121,590","463,021",413.2,226.58,224.51,"1,147,258","27,550","103,953"
1982,"3,192,379","2,603,599","116,372","472,408",440.6,242.11,245.07,"1,147,146","28,175","115,773"
1983,"3,168,992","2,569,029","111,591","488,372",456.2,250.33,257.78,"1,171,991","27,935","125,893"
1984,"3,212,040","2,596,516","109,151","506,373",470.7,306.24,270.28,"1,222,180","33,426","136,862"
1985,"3,289,485","2,656,638","107,005","525,842",483.8,315.26,281.92,"1,285,281","33,734","148,245"
1986,"3,380,480","2,728,463","106,974","545,043",487.9,319.74,288.79,"1,331,217","34,204","157,403"
1987,"3,453,414","2,785,859","106,282","561,273",508.2,333.89,304.32,"1,415,774","35,486","170,807"
1988,"3,507,707","2,830,284","103,123","574,300",529.5,348.05,320.21,"1,498,635","35,892","183,897"
1989,"3,583,451","2,895,364","101,630","586,457",556,366.72,339.47,"1,609,822","37,270","199,085"
1990,"3,712,763","3,011,294","100,989","600,480",587.2,388.93,361.71,"1,768,232","39,278","217,200"
1991,"3,925,472","3,194,938","114,489","616,045",609.4,406.96,378.86,"1,946,995","46,592","233,395"
1992,"4,236,080","3,467,783","131,324","636,973",626.1,422.65,393.61,"2,171,179","55,504","250,719"
1993,"4,529,466","3,725,966","147,015","656,485",641.7,434.2,407.2,"2,390,952","63,834","267,321"
1994,"4,796,313","3,962,954","160,676","672,683",661.4,446.3,422.4,"2,621,098","71,710","284,141"
1995,"5,044,388","4,185,263","173,024","686,101",681.6,458.3,437.3,"2,853,512","79,297","300,032"
1996,"5,264,321","4,385,623","181,911","696,787",703.9,471,454.3,"3,087,040","85,680","316,550"
1997,"5,400,781","4,508,134","187,938","704,709",721.6,480.4,468.6,"3,253,069","90,285","330,227"
1998,"5,605,272","4,698,319","194,181","712,772",733.1,487.3,479.4,"3,444,338","94,624","341,703"
1999,"5,798,776","4,879,455","198,795","720,526",754.1,499.9,495.6,"3,679,597","99,378","357,093"
2000,"5,972,468","5,042,333","201,446","728,689",786.4,519.7,518.3,"3,965,291","104,681","377,650"
2001,"6,208,847","5,268,039","204,255","736,553",814.4,536.7,537.6,"4,290,449","109,622","395,956"
2002,"6,491,494","5,539,597","207,365","744,532",834.3,548.1,550.4,"4,621,852","113,653","409,813"
2003,"6,830,714","5,868,541","209,360","752,813",861.6,563.8,567,"5,054,332","118,010","426,780"
2004,"7,167,375","6,197,385","210,736","759,254",894.1,582.7,587.6,"5,540,703","122,795","446,096"
2005,"7,503,405","6,519,001","215,866","768,538",938,609.3,616.3,"6,113,106","131,508","473,545"
2006,"7,803,692","6,806,918","220,178","776,596",977.7,630.7,642.4,"6,655,048","138,859","498,891"
2007,"8,118,382","7,098,723","224,982","794,677","1,004.00",645.5,660.3,"7,127,082","145,233","524,763"
2008,"8,528,164","7,426,691","230,007","871,466","1,063.10",683.6,681.7,"7,895,536","157,243","594,115"
2009,"8,945,376","7,788,013","236,480","920,883","1,064.30",682.7,676.3,"8,288,762","161,437","622,827"
2010,"9,398,104","8,203,951","244,953","949,200","1,067.80",681.3,678.8,"8,759,959","166,888","644,297"
2011,"9,803,581","8,575,544","251,011","977,026","1,110.50",703.54,705.84,"9,523,184","176,596","689,622"
2012,"10,088,739","8,826,591","255,472","1,006,676","1,130.34",711.47,720.47,"9,977,027","181,760","725,285"
2013,"10,228,364","8,940,950","257,248","1,030,166","1,146.42",716.79,734.68,"10,250,098","184,392","756,839"
2014,"10,261,268","8,954,518","257,871","1,048,879","1,165.39",724.07,751.12,"10,435,524","186,717","787,838"
2015,"10,237,204","8,909,430","259,331","1,068,443","1,165.79",719.11,754.96,"10,386,494","186,488","806,630"
2016,"10,153,205","8,808,736","259,207","1,085,262","1,171.15",717.65,761.87,"10,316,342","186,020","826,828"